Issue,Date,Count,generated_at
Delivery late,2025-12-25,3,2025-12-26 20:42:06
Food cold,2025-12-25,1,2025-12-26 20:42:06
Delivery person rude,2025-12-25,4,2025-12-26 20:42:06
